1 1
2 115
3 851
4 5326
5 28082
6 100024
7 205068
8 242110
9 259022
10 265958
11 267769
12 267095
13 264345
14 260290
15 270371
16 273682
17 274617
18 274531
19 274053
20 273185
21 272363
22 271426
23 271080
24 270549
25 270416
26 270324
27 270579
28 271229
29 272041
30 272111
31 272008
32 271841
33 271656
34 271575
35 271320
36 271166
37 271278
38 271201
39 271259
40 271392
41 271583
42 271681
43 271597
44 271471
45 271555
46 271405
47 271479
48 271302
49 271406
50 271404
51 271459
52 271429
53 271445
54 271555
55 271452
56 271542
57 271389
58 271564
59 271377
60 271339
61 271381
62 271708
63 271511
64 271482
65 271522
66 271430
67 271552
68 271450
69 271596
70 271575
71 271407
72 271378
73 271531
74 271449
75 271408
76 271403
77 271353
78 271301
79 271228
80 271377
81 271296
82 271422
83 271442
84 271480
85 271487
86 271471
87 271452
88 271387
89 271371
90 271481


1 1
2 102
3 324
4 1116
5 4204
6 15371
7 44352
8 74180
9 105461
10 132647
11 153868
12 169519
13 179641
14 185500
15 194270
16 199121
17 201652
18 203430
19 204326
20 204550
21 204860
22 204596
23 204399
24 204111
25 204243
26 204339
27 204557
28 204700
29 205391
30 205315
31 205564
32 205934
33 205734
34 205448
35 205387
36 205112
37 205431
38 205386
39 205325
40 205285
41 205144
42 205248
43 205484
44 205427
45 205354
46 205027
47 205044
48 204787
49 204722
50 204672
51 205116
52 205012
53 204945
54 205157
55 205160
56 205258
57 205434
58 205626
59 205099
60 204753
61 204735
62 204964
63 205242
64 205444
65 204954
66 204867
67 204778
68 204790
69 204962
70 204351
71 205282
72 205003
73 204971
74 204580
75 204909
76 205188
77 205180
78 205372
79 205252
80 205191
81 205569
82 205619
83 205474
84 205450
85 205213
86 205542
87 205545
88 205180
89 205221
90 205218


1 1
2 5
3 6
4 7
5 7
6 7
7 103
8 204
9 378
10 669
11 1142
12 2033
13 3875
14 6666
15 9214
16 12461
17 16358
18 21722
19 27817
20 34475
21 41684
22 49637
23 58112
24 66603
25 74984
26 82773
27 90257
28 96621
29 102273
30 107474
31 111689
32 115862
33 118968
34 121835
35 124249
36 126013
37 127178
38 128431
39 129330
40 130037
41 130642
42 131086
43 131415
44 131536
45 131935
46 132349
47 132716
48 132544
49 132541
50 132493
51 132515
52 132711
53 132694
54 132698
55 132823
56 132896
57 133126
58 133160
59 133229
60 133091
61 132959
62 132969
63 132962
64 132935
65 133177
66 132981
67 133191
68 132987
69 133150
70 133094
71 133027
72 133127
73 132745
74 132702
75 132802
76 132893
77 132893
78 132876
79 132920
80 132969
81 132739
82 132945
83 132759
84 132713
85 132715
86 132443
87 132747
88 133083
89 132927
90 132925
